Z(km) O2+ O+ CO2+ CO+ NO+ N2+ OH+ H+ HCO+
185.042 2.85 39.6 79.4 28.7 0.504 8.79 0 0.00884 0
185.989 2.82 38.1 75.3 27.2 0.484 8.59 0 0.0088 0
186.942 2.78 36.5 71.1 25.7 0.465 8.39 0 0.00875 0
187.901 2.74 34.9 66.9 24.2 0.445 8.18 0 0.0087 0
188.867 2.7 33.2 62.6 22.7 0.425 7.98 0 0.00866 0
189.84 2.65 31.6 58.3 21.1 0.404 7.77 0 0.00861 0
190.819 2.59 30 54 19.5 0.388 7.36 0 0.00856 0
191.804 2.53 28.4 49.6 18 0.373 6.91 0 0.00852 0
192.797 2.46 26.8 45.1 16.3 0.358 6.45 0 0.00847 0
193.796 2.39 25.2 40.6 14.7 0.342 5.99 0 0.00842 0
194.801 2.32 23.6 36 13.1 0.326 5.52 0 0.00837 0
195.813 2.23 22.6 34 12.3 0.315 5.24 0 0.00831 0
196.832 2.12 21.8 32.6 11.8 0.304 5 0 0.00824 0
197.857 2.02 20.9 31.2 11.2 0.293 4.76 0 0.00817 0
198.889 1.92 20 29.8 10.7 0.282 4.51 0 0.00809 0
199.927 1.81 19.1 28.4 10.1 0.271 4.27 0 0.00802 0
200.973 1.72 18.2 26.4 9.46 0.258 4.07 0 0.00802 0
202.024 1.63 17.3 24.5 8.81 0.245 3.89 0 0.00802 0
203.083 1.55 16.5 22.8 8.2 0.233 3.71 0 0.00801 0
204.148 1.47 15.7 21.2 7.63 0.221 3.54 0 0.00801 0
205.22 1.39 15 19.6 7.1 0.21 3.38 0 0.00801 0
206.298 1.31 14.3 18.2 6.6 0.2 3.22 0 0.008 0
207.383 1.24 13.6 16.9 6.13 0.19 3.07 0 0.008 0
208.475 1.18 12.9 15.6 5.69 0.18 2.92 0 0.00799 0
209.574 1.11 12.3 14.4 5.28 0.171 2.78 0 0.00799 0
210.679 1.05 11.8 13.4 4.9 0.162 2.65 0 0.00798 0
211.791 0.993 11.2 12.4 4.55 0.153 2.52 0 0.00798 0
212.91 0.938 10.7 11.4 4.21 0.145 2.4 0 0.00797 0
214.035 0.886 10.2 10.5 3.91 0.138 2.28 0 0.00796 0
215.167 0.836 9.74 9.74 3.62 0.13 2.17 0 0.00795 0
216.306 0.788 9.3 8.98 3.35 0.123 2.06 0 0.00794 0
